,119739
abandond,6
abandoned,2
abase,2
abashd,1
abate,14
abated,3
abatement,3
abatements,1
abates,1
abatfowling,1
abbess,25
abbey,20
abbeys,1
abbominable,1
abbot,9
abbots,1
abbreviated,1
abed,9
abel,1
abels,1
abergany,2
abergavenny,8
abet,1
abetting,1
abhominable,1
abhor,19
abhorrd,11
abhorrdst,1
abhorred,9
abhorring,2
abhors,4
abhorson,21
abide,38
abides,8
abilities,5
ability,9
abilitys,1
abirding,4
abject,11
abjectly,1
abjects,2
abjurd,2
abjure,4
able,59
ableeding,2
abler,1
aboard,28
abode,9
aboded,1
abodements,1
aboding,1
abominable,14
abominably,1
abominations,1
abortive,4
abortives,1
abound,7
abounding,1
aboundst,1
about,408
above,147
abr,5
abraham,3
abrahams,1
abram,5
abreast,3
abreeding,1
abrewing,1
abridgd,1
abridge,2
abridged,1
abridgment,4
abroach,3
abroad,63
abroadanon,1
abrogate,1
abrook,1
abrupt,1
abruption,1
abruptly,1
absence,55
absent,33
absey,1
absolute,30
absolutely,2
absolvd,3
abstains,1
abstemious,1
abstinence,4
abstract,6
absurd,4
absyrtus,1
abundance,13
abundant,4
abundantly,1
abusd,29
abuse,46
abused,17
abuser,1
abuses,11
abusing,3
abutting,1
aby,2
abysm,3
academe,1
academes,2
acapring,1
accent,16
accents,7
accept,31
acceptable,1
acceptance,8
accepted,5
accepting,1
accepts,3
access,33
accessary,3
accessed,1
accessible,2
accidence,1
accident,23
accidental,3
accidentally,3
accidents,14
accite,1
accited,1
accites,1
acclamations,1
accommodate,1
accommodated,7
accommodation,1
accommodations,1
accommodo,1
accompanied,9
accompany,8
accompanying,1
accomplices,1
accomplish,3
accomplishd,7
accomplished,3
accomplishing,1
accomplishment,1
accompt,4
accord,10
accordance,2
accordant,1
accorded,1
accordeth,1
according,45
accordingly,10
accords,3
accost,6
accosted,1
account,45
accountant,2
accounted,7
accounts,2
accountst,1
accoutred,2
accoutrement,2
accoutrements,2
accrue,1
accumulate,2
accumulated,1
accumulation,1
accursd,13
accursed,18
accurst,4
accusation,13
accusations,6
accusative,1
accusativo,2
accusd,21
accuse,38
accused,3
accuser,2
accusers,7
accuses,2
accuseth,1
accusing,3
accustomd,4
accustomed,2
ace,3
acerb,1
ache,12
acheron,3
aches,6
achievd,8
achieve,14
achieved,3
achievement,3
achievements,4
achiever,1
achieves,1
achilles,167
aching,3
achitophel,1
acknowledgd,3
acknowledge,19
acknowledged,1
acknowledgment,1
acknown,1
acold,5
acoming,1
aconitum,1
acordo,1
acorn,4
acquaint,22
acquaintance,36
acquainted,39
acquaints,1
acquird,2
acquire,3
acquireafter,1
acquisition,1
acquit,8
acquittance,3
acquittances,1
acquitted,3
acre,3
acres,4
across,6
act,346
act2sc7,1
act3sc1,1
act3sc10,1
act3sc11,1
act3sc12,1
act3sc13,1
act3sc2,1
act3sc3,1
act3sc4,1
act3sc5,1
act3sc6,1
act3sc7,1
act3sc8,1
act3sc9,1
act4sc1,2
act4sc10,1
act4sc11,1
act4sc12,1
act4sc13,1
act4sc14,1
act4sc15,1
act4sc2,1
act4sc3,1
act4sc4,1
act4sc5,1
act4sc6,1
act4sc7,1
act4sc8,1
act4sc9,1
act5sc1,1
act5sc2,1
actaeon,2
actaeons,1
acted,7
acting,8
action,114
actions,24
actiontaking,1
actium,3
active,8
actively,1
activevaliant,1
activity,3
actor,12
actors,11
acts,23
actual,3
acture,1
acursing,1
acute,2
acutely,1
ad,14
adage,2
adallas,1
adam,39
adamant,3
adams,3
add,39
added,17
adder,11
adders,8
addeth,1
addict,1
addicted,2
addiction,2
adding,9
addition,29
additional,6
additions,6
addle,3
address,12
addressd,7
addresses,2
addressing,1
addrest,2
adds,5
adhere,2
adheres,3
adieu,101
adieus,2
adjacent,2
adjoind,1
adjoining,2
adjourn,1
adjournd,1
adjudgd,4
adjudged,1
adjunct,4
administer,1
administration,1
admirable,15
admiral,6
admiration,12
admird,7
admire,7
admired,8
admirer,1
admiring,6
admiringly,2
admit,24
admits,7
admittance,10
admitted,14
admitting,1
admonish,1
admonishing,1
admonishment,1
admonishments,1
admonition,2
ado,19
adoing,2
adonis,3
adopt,3
adopted,6
adoptedly,1
adoption,4
adoptious,1
adopts,1
adoration,2
adorations,1
adord,3
adore,14
adorer,1
adores,2
adorest,1
adoreth,1
adoring,1
adorn,3
adorned,2
adornings,1
adornment,2
adorns,1
adoting,1
adown,2
adowna,2
adramadio,2
adrian,16
adriana,91
adriano,4
adriatic,1
adsum,1
aducking,1
adulation,1
adulterate,5
adulterates,1
adulterers,1
adulteress,1
adulteries,1
adulterous,2
adultery,7
adultress,4
advancd,14
advance,30
advanced,4
advancement,9
advancements,1
advances,4
advancing,8
advantage,72
advantageable,1
advantaged,1
advantageous,2
advantages,10
advantaging,1
adventrous,1
adventurd,1
adventure,22
adventures,3
adventuring,1
adventurous,2
adventurously,1
adversaries,11
adversary,6
adversarys,3
adverse,12
adversely,1
adversities,1
adversity,7
adversitys,1
advertisd,3
advertise,2
advertised,3
advertisement,4
advertising,1
advice,43
advisd,27
advise,39
advised,9
advisedly,2
advises,2
advisings,1
advocate,8
advocates,1
advocation,1
adying,1
aeacida,1
aeacides,1
aedile,16
aediles,8
aegeon,26
aegion,1
aegles,1
aemelia,1
aemilia,4
aemilius,14
aeneas,83
aeolus,1
aer,2
aerial,1
aery,3
aerys,1
aesculapius,1
aeson,1
aesop,1
aetna,1
afar,20
afeard,32
afeardthy,1
afeasting,1
affability,3
affable,6
affair,12
affaire,1
affairs,67
affect,23
affectation,2
affectations,1
affected,18
affectedly,1
affecteth,1
affecting,3
affection,73
affectionate,1
affectionately,1
affectiond,1
affections,42
affects,11
affeerd,1
affiancd,1
affiance,3
affianced,1
affied,1
affind,1
affined,2
affinity,1
affirm,4
affirmation,1
affirmatives,1
afflict,13
afflicted,8
affliction,20
afflictions,5
afflicts,2
afford,21
affordeth,1
affords,14
affray,1
affright,9
affrighted,6
affrights,5
affront,4
affronted,1
affy,2
afield,4
afire,3
afloat,2
afoot,25
afore,12
aforehand,1
aforesaid,3
aforet,1
afraid,41
afresh,5
afric,4
africa,1
african,1
afront,1
after,405
afterdebts,1
afterdinners,2
aftereye,1
afterhours,2
afterinquiry,1
afterloss,1
afterlove,2
aftermeeting,1
afternoon,27
aftersupper,1
aftertimes,1
afterward,8
afterwards,38
again,768
againnot,1
against,596
agamemmons,1
agamemnon,92
agamemnonhow,1
agamemnons,6
agamemnonworthy,1
agate,4
agatering,1
agazd,1
agd,3
age,197
aged,25
agenor,1
agent,12
agents,4
ages,18
aggravate,5
aggriefd,1
agile,1
agincourt,6
agitation,2
agletbaby,1
agnize,1
ago,30
agoing,1
agone,2
agony,6
agree,30
agreed,18
agreeing,3
agreement,22
agrees,5
agrippa,57
aground,1
agrowing,1
ague,9
aguecheek,93
agued,1
agueface,1
agueproof,1
agues,5
ah,183
aha,2
ahanging,1
aheight,1
ahigh,1
ahold,2
ahooting,1
ahorseback,3
ahungry,2
ai,1
aialvolio,1
aiaria,1
aid,58
aidance,1
aidant,1
aided,1
aiding,2
aidless,1
aids,2
ail,2
ailst,1
aim,39
aimd,6
aimed,1
aimest,1
aiming,3
aims,4
aimst,1
ainsi,2
aio,1
air,184
aird,1
airdrawn,1
aired,1
airless,1
airs,6
airthe,1
airy,15
ajax,127
ajaxwho,1
ak,1
akilling,1
alabaster,3
alack,77
alacrity,4
alarbus,5
alarm,4
alarms,1
alarum,86
alarumd,2
alarums,24
alas,224
alb,58
alban,3
albans,20
albany,14
albanys,6
albeit,16
albion,3
albions,3
alce,1
alchemist,2
alchemy,3
alcibiades,61
alcides,7
alderliefest,1
alderman,1
aldermans,1
aldermen,7
ale,14
alectos,1
alehouse,10
alehouses,1
alencon,48
alencons,2
alengon,1
aleppo,2
ales,2
aleven,1
alewashd,1
alewife,1
alewifes,1
alexander,32
alexanderhow,1
alexanders,2
alexandria,25
alexandrian,2
alexas,34
alias,3
alice,30
alien,3
aliena,7
alife,1
alight,1
alighted,3
alights,1
aliis,1
alike,42
alisander,6
alive,90
all,3904
alla,3
allabhorred,1
alladmiring,1
allay,12
allayd,1
allayed,1
allaying,2
allayment,1
allayments,1
allays,1
allbinding,1
allchanging,1
allcheering,1
alldisgraced,1
alldreaded,1
alleating,1
allegation,1
allegations,1
allege,2
alleged,2
allegiance,25
allegiancemark,1
allegiant,1
allending,1
alley,2
alleys,2
allhail,2
allhailed,1
allhallond,1
allhallowmas,1
allhallown,1
allhating,1
allhonourd,1
allhurting,1
alliance,16
allicholy,1
allied,5
allies,6
alligant,1
alligator,1
alllicensd,1
allobeying,1
alloblivious,1
allons,3
allonsnous,1
allot,1
allots,1
allotted,1
allottery,1
allow,31
allowance,10
allowd,18
allowed,5
allowing,3
allows,4
allpraised,1
alls,39
allseeing,2
allseer,1
allshaking,1
allshunnd,1
allsouls,3
alltelling,1
alltyrant,1
allunable,1
allurd,1
allure,2
allurement,1
alluring,1
allusion,2
allwatched,1
allworthy,2
ally,1
allycholly,1
almain,1
almanac,2
almanack,1
almanacs,1
almighty,7
almond,1
almost,163
alms,12
almsbasket,1
almsdeed,1
almsdrink,1
almshouses,1
almsmans,1
aloes,1
aloft,22
alone,237
along,112
alonso,50
aloof,19
aloud,27
alphabet,1
alphabetical,1
alphonso,1
alps,4
already,148
also,42
altar,11
altars,3
alter,15
alteration,11
alterd,14
altered,2
alternate,1
alternative,1
alternatively,2
alters,4
althaea,2
althaeas,1
although,79
altitude,3
altogether,23
altogethers,1
alton,1
altred,4
altring,2
alway,1
always,62
alwayswindobeying,1
am,2168
amaimon,1
amain,14
amaking,2
amamon,1
amazd,29
amaze,9
amazed,11
amazedly,4
amazedness,2
amazement,12
amazes,1
amazeth,1
amazing,1
amazon,4
amazonian,2
amazons,4
ambassador,28
ambassadors,20
amber,6
ambercolourd,1
ambiguides,1
ambiguities,1
ambiguous,1
ambition,45
ambitions,4
ambitious,37
ambitiously,2
amble,1
ambled,1
ambles,4
ambling,3
ambo,1
ambuscadoes,1
ambush,8
amen,83
amend,18
amended,4
amending,1
amendment,4
amends,24
amerce,1
amercy,1
america,1
amesace,1
amiable,7
amid,1
amidst,1
amiens,16
amis,2
amiss,37
amities,2
amity,23
amnipotent,1
among,93
amongs,1
amongst,37
amorous,23
amorously,1
amort,2
amount,7
amounts,3
amphimacus,1
ample,16
ampler,1
amplest,2
amplified,1
amplify,3
amply,3
ampthill,1
amurath,2
amyntas,1
an,1839
anape,1
anatomizd,2
anatomize,3
anatomy,4
ancestor,5
ancestors,20
ancestry,4
anchises,3
anchor,6
anchorage,1
anchord,1
anchored,1
anchoring,2
anchors,6
anchovies,1
ancient,78
ancientry,2
ancients,1
ancientst,1
ancus,1
and,26791
anda,1
anddo,1
andhow,1
andirons,1
andpholus,1
andprithee,1
andren,1
andrew,29
andromache,12
andronici,4
andronicus,59
andt,1
anew,8
angel,52
angelica,1
angelical,1
angellike,2
angelo,209
angelos,7
angels,37
anger,54
angerd,4
angerly,2
angers,6
anges,1
angiers,18
anglais,2
angld,1
angle,8
angler,1
angleterre,1
angliae,1
angling,3
anglish,1
angred,4
angrily,1
angring,1
angry,93
anguish,6
angus,12
anhungry,1
anight,1
animal,3
animals,5
animis,1
anjou,18
ankle,1
anna,1
annals,1
anne,174
annes,4
annexd,1
annexed,1
annexions,1
annexment,1
annothanize,1
announces,1
annoy,8
annoyance,5
annoyd,1
annoying,1
annual,4
anoint,2
anointed,19
anon,127
another,430
anothers,25
anselmo,1
answer,380
answerable,3
answerd,39
answered,17
answerest,1
answering,8
answernone,1
answers,24
answerst,2
answert,1
ant,74
antechamber,2
antenor,17
antenorides,1
anteroom,1
anthem,1
anthems,1
anthony,5
anthropophagi,1
anthropophaginian,1
antiates,4
antic,11
anticipate,1
anticipates,1
anticipatest,1
anticipating,1
anticipation,1
antickd,1
anticly,1
antics,2
antidote,1
antidotes,1
antigonus,32
antiopa,1
antipathy,1
antipholus,220
antipholuses,1
antipodes,5
antiquary,1
antique,15
antiquity,7
antium,10
antoniad,1
antonio,252
antonios,10
antonioth,1
antonius,4
antony,509
antonys,11
antres,1
anvil,2
any,973
anybody,4
anyone,7
anys,2
anything,107
anywhere,8
ap,1
apace,27
apart,40
apartment,1
apartments,2
ape,21
apebearer,1
apemantus,133
apennines,1
apes,11
apiece,4
apish,5
apollinem,1
apollo,19
apollodorus,1
apollos,7
apology,5
apoplexd,1
apoplexy,4
apostle,1
apostles,1
apostrophas,1
apoth,4
apothecary,7
appal,2
appalld,1
appalled,1
appals,2
apparel,40
apparelld,5
apparelled,1
apparent,25
apparently,1
apparition,12
apparitions,3
appeach,2
appeachd,1
appeal,18
appeald,1
appeals,1
appear,130
appearance,13
appeard,21
appeared,6
appeareth,3
appearing,8
appears,51
appeasd,4
appease,4
appeased,1
appelants,1
appele,1
appelee,1
appeles,1
appelezvous,4
appellant,5
appellants,1
appelons,1
appendix,1
apperil,1
appertain,2
appertaining,3
appertainings,2
appertains,1
appertinent,2
appertinents,1
appetite,38
appetites,4
applaud,11
applauded,1
applauding,2
applause,12
applauseand,1
applauses,1
apple,10
applejohn,1
applejohns,1
apples,3
appletart,1
appliance,3
appliances,2
applicable,3
applications,1
applied,5
applies,3
apply,17
applying,3
appoint,12
appointed,31
appointment,10
appointments,3
appoints,1
apprehend,17
apprehended,9
apprehends,3
apprehendst,1
apprehension,14
apprehensions,3
apprehensive,3
apprenticehood,1
appris,1
approach,73
approachd,4
approachers,1
approaches,16
approacheth,4
approaching,5
approbation,13
approof,4
appropriation,1
approvd,5
approve,27
approved,13
approvers,1
approves,5
appurtenance,1
appurtenances,1
apricocks,2
april,15
aprils,3
apron,3
aprons,5
apt,42
apter,2
aptest,1
aptly,7
aptness,3
aqua,1
aquavita,1
aquavitae,3
aquavitx,1
aquilond,1
aquitaine,8
arabia,5
arabian,3
araise,1
arbitrate,5
arbitrating,1
arbitrator,2
arbitrement,6
arbors,1
arbour,6
arc,3
arch,14
archbishop,69
archbishopric,1
archbishops,4
archd,1
archdeacon,1
archdeacons,1
arched,2
archelaus,1
archenemy,1
archer,2
archers,3
archery,2
archheretic,1
archibald,2
archidamus,9
architect,1
archive,13
archmock,1
archvillain,2
arcu,1
arde,1
arden,7
ardent,1
ardour,2
are,3874
arepairing,1
argal,3
argier,2
argo,1
argosies,3
argosy,5
argud,1
argue,5
argued,2
argues,11
arguing,3
argument,67
arguments,11
argus,3
ariachnes,1
ariadne,2
ariel,91
ariels,2
aries,1
aright,9
arinados,1
arinies,1
arion,1
aripening,1
arise,39
arises,1
ariseth,2
arising,1
aristode,1
aristotles,1
arithmetic,6
arithmetician,1
ark,1
arm,142
armado,123
armadoes,1
armados,1
armagnac,3
armd,39
arme,2
armed,33
armenia,2
armgaunt,1
armies,12
armigero,1
arming,5
armipotent,2
armor,3
armour,41
armourer,7
armourers,3
armours,3
armoury,3
arms,252
armthe,1
army,96
armys,1
arn,3
aroint,3
arolling,1
arose,3
arouse,1
aroused,1
arow,1
arragon,10
arraign,6
arraigned,1
arraigning,1
arraignment,1
arrant,16
arras,14
array,14
arrayd,2
arrearages,1
arrest,27
arrested,12
arrests,2
arrival,6
arrivance,1
arrivd,18
arrive,5
arrived,7
arrives,2
arriving,1
arrogance,6
arrogancy,1
arrogant,4
arrow,8
arrows,13
art,915
artemidorus,7
arteries,1
arthur,61
arthurs,13
article,18
articles,19
articulate,2
artificer,1
artificial,6
artillery,5
artire,1
artist,1
artists,1
artless,1
artois,1
arts,14
artsman,1
artus,1
arviragus,63
as,5970
asaph,1
ascanius,1
ascend,12
ascended,2
ascendeth,1
ascends,5
ascension,1
ascensionday,4
ascent,1
ascii,5
ascribe,3
ascribes,1
ash,2
ashamd,26
ashamed,7
asher,1
ashes,19
ashford,2
ashore,11
ashouting,1
ashy,1
asia,4
aside,465
asin,1
asis,2
ask,162
askance,2
askd,27
askdbut,1
asked,4
asker,1
asketh,2
asking,12
asks,2
askst,2
aslant,1
asleep,60
asleeping,1
asmath,1
asp,3
aspect,26
aspects,4
aspen,2
aspersion,1
aspic,2
aspicious,1
aspics,2
aspiration,1
aspird,2
aspire,4
aspiring,6
asquint,1
ass,90
assail,5
assailable,1
assailant,1
assailants,1
assaild,2
assailed,4
assaileth,1
assailing,2
assails,2
assassination,1
assault,16
assaulted,2
assaults,3
assay,15
assayd,3
assaying,1
assays,3
assemblance,1
assemble,7
assembled,10
assemblies,2
assembly,15
assent,2
asses,9
assez,1
asshead,2
assign,3
assignd,4
assigned,1
assigns,2
assinico,1
assist,20
assistance,15
assistances,1
assistant,4
assistants,2
assisted,3
assisting,1
associate,1
associated,9
associates,1
association,1
asss,3
assuage,2
assubjugate,1
assumd,1
assume,13
assumes,2
assurance,29
assurd,37
assure,50
assured,16
assuredly,4
assures,1
assyrian,2
ast,4
asterisk,1
asthough,1
astonish,3
astonishd,3
astonished,1
astraeas,1
astray,2
astrea,1
astronomer,1
astronomers,1
astronomical,1
astronomy,1
asunder,15
at,2521
atalantas,2
atalking,1
ate,3
ates,2
athenian,35
athenians,7
athens,72
athol,1
athversary,3
athwart,8
atlas,1
atomies,3
atomy,1
atone,7
atonement,2
atonements,1
atropos,1
ats,3
attach,10
attachd,5
attached,2
attachment,1
attain,9
attaind,5
attainder,4
attains,1
attaint,7
attainted,4
attainture,1
attempt,34
attemptable,1
attempted,2
attempting,2
attempts,7
attend,116
attendance,8
attendant,35
attendants,142
attendantso,1
attended,45
attendents,2
attendeth,1
attending,43
attends,19
attendst,1
attent,1
attention,5
attentive,5
attentivenes,1
attest,4
attested,1
attird,3
attire,13
attired,3
attires,3
attorney,8
attorneyd,1
attorneyed,1
attorneys,1
attorneysgeneral,1
attorneyship,1
attract,1
attraction,2
attractive,2
attracts,2
attribute,4
attributed,1
attributes,2
attribution,1
attributive,1
atwain,2
au,2
aubrey,1
auburn,1
aucun,1
audacious,7
audaciously,1
audacity,2
audible,2
audience,32
audis,1
audit,9
auditor,2
auditors,1
auditory,1
audrey,33
aufidius,97
aufidiuses,1
auger,1
augers,1
aught,76
augment,4
augmentation,1
augmented,3
augmenting,2
augurer,2
augurers,3
augures,1
auguring,1
augurs,1
augury,2
august,2
augustus,6
auld,1
aumerle,71
aunchient,8
aunt,25
auntmother,1
aunts,1
auricular,1
auroras,2
auspicious,6
aussi,2
austere,4
austerely,2
austereness,1
austerity,3
austria,24
austrias,2
aut,1
authentic,4
author,16
authorities,5
authority,55
authorized,2
authorizing,1
authors,7
autolycus,75
autre,1
autumn,7
autumns,2
auvergne,3
avail,4
available,2
avails,2
avarice,2
avaricious,1
avaunt,15
ave,1
avemaries,2
avengd,3
avenge,1
avenged,2
averring,1
avert,1
aves,1
avez,1
avisd,3
avoid,38
avoided,8
avoiding,1
avoids,1
avoirdupois,1
avouch,10
avouched,1
avouches,2
avouchment,1
avoucht,1
avow,2
await,2
awaits,1
awakd,15
awake,77
awaked,2
awaken,1
awakened,1
awakens,1
awakes,4
awakewhy,1
awaking,6
award,1
awards,3
awasy,1
away,859
awayi,1
awaylet,1
awaythe,1
awayyou,1
awd,1
awe,18
aweary,9
aweeping,1
aweless,2
awful,7
awhile,102
awkward,3
awl,2
awooing,2
awork,3
awry,7
axe,19
axes,1
axletree,2
ay,764
ayaside,1
aye,15
ayez,1
ayll,1
azurd,2
azure,1
b,14
ba,2
baa,1
babbld,1
babble,2
babbling,6
babe,37
babes,23
babies,3
baboon,3
baboons,2
baby,14
babyhere,1
babylon,2
babys,1
bacare,1
bacchanals,2
bacchus,2
bachelor,18
bachelors,3
bachlorship,1
back,335
backbite,1
backbitten,1
backd,7
backdoor,2
backfriend,1
backing,3
backreturn,1
backs,22
backsword,1
backtrick,1
backward,20
backwardly,1
backwards,1
backwounding,1
bacon,2
baconfed,1
bacons,1
bad,122
badcauser,1
bade,44
badge,13
badged,1
badges,4
badly,1
badness,4
badst,2
baes,2
baffld,2
baffle,2
baffled,1
bag,9
baggage,7
bagot,19
bagpipe,4
bagpiper,1
bags,8
bail,16
bailiff,1
baillez,1
baisant,1
baisees,1
baiser,1
bait,18
baited,5
baiting,1
baitingplace,1
baits,3
bajazets,1
bakd,7
bake,2
baked,1
bakers,2
bakes,1
baking,1
bal,9
balance,11
balcony,1
bald,18
baldpate,1
baldpated,1
baldrick,1
bale,1
baleful,7
balk,1
balkd,1
ball,5
ballad,16
balladmakers,3
ballads,5
ballast,1
ballasting,1
balletmongers,1
ballow,1
balls,11
balm,15
balmd,1
balms,1
balmy,3
balsam,1
balsamum,1
balth,10
balthasar,19
balthazar,12
bames,1
ban,6
banbury,1
band,32
bandied,1
banding,1
bandit,12
banditti,5
banditto,1
bandogs,1
bands,15
bandsmay,1
bandy,7
bandying,2
bane,6
banes,2
bang,1
bangd,2
bangor,1
banish,37
banishd,90
banished,37
banishers,1
banishment,40
banister,1
bank,14
bankd,1
bankrout,1
bankrupt,12
bankrupts,1
banks,13
banner,4
bannerets,1
banners,8
banning,1
banns,2
banquet,31
banqueted,1
banqueting,3
banquets,2
banquo,69
banquos,6
bans,2
baptism,3
baptista,107
baptistas,10
baptistaso,1
baptizd,1
bar,33
barbarian,2
barbarians,1
barbarism,4
barbarous,20
barbary,11
barbason,2
barbed,2
barber,1
barberd,1
barbermonger,1
barbers,7
bard,18
bardolph,190
bardolphs,3
bards,1
bare,56
barebone,1
bared,1
barefacd,2
barefaced,1
barefoot,7
baregnawn,1
bareheaded,6
barely,4
bareness,4
barepickd,1
bareribbd,1
barful,1
bargain,19
bargaind,2
bargains,3
barge,5
bargulus,1
baring,1
bark,46
barkd,2
barking,2
barkloughly,1
barks,6
barkst,1
barky,1
barley,2
barleybroth,1
barm,1
barn,2
barnacles,1
barnardine,25
barnardines,1
barne,2
barnes,2
barnet,3
barns,2
baron,1
barons,6
barony,1
barrabas,1
barrd,9
barrdup,1
barrel,1
barrels,1
barren,40
barrenly,1
barrenness,1
barrenspirited,1
barricado,2
barricadoes,1
barrow,1
bars,14
barson,1
barst,2
barterd,1
bartholomew,2
bartholomewtide,1
bas,1
basan,1
base,156
baseborn,3
based,5
baseless,1
basely,9
baseness,17
baser,11
bases,2
basest,13
bashful,6
bashfulness,1
basiliscolike,1
basilisk,4
basilisks,4
basimecu,1
basin,5
basingstoke,1
basins,1
basis,6
baskd,1
basket,29
baskethilt,1
baskets,1
bass,4
bassanio,120
bassanios,7
basset,11
bassianus,45
bassstring,1
bassviol,1
basta,1
bastard,206
bastardizing,1
bastardly,1
bastards,18
bastardy,8
basted,1
bastes,1
bastinado,3
basting,2
bat,5
batailles,1
batch,1
bate,15
bated,8
bates,11
bath,8
bathd,4
bathe,6
bathed,2
bathing,1
baths,1
bating,1
batler,1
bats,4
battalia,1
battalions,1
batten,2
batter,2
batterd,1
battering,2
batters,3
battery,7
battle,112
battleaxe,1
battlefield,1
battlements,8
battles,22
battred,2
battring,1
battry,6
batty,1
bauble,8
baubles,1
baubling,1
baulkd,1
bavin,1
bawcock,4
bawd,36
bawdborn,1
bawdry,3
bawds,7
bawdy,11
bawdyhouse,2
bawl,1
bawling,1
bay,27
bayd,3
baying,1
baynards,3
bayonne,1
bays,2
be,7106
beach,5
beached,2
beachy,1
beacon,4
bead,1
beaded,1
beadle,15
beadles,4
beads,10
beadsmen,1
beagle,1
beagles,1
beak,3
beaks,1
beall,1
beam,11
beams,24
bean,1
beanfed,1
beans,1
bear,534
bearbaiting,2
bearbaitings,1
beard,95
bearded,4
beardless,2
beards,14
bearer,7
bearers,4
bearest,5
beareth,1
bearherd,1
bearing,70
bearingcloth,2
bearlike,1
bears,107
bearst,7
beart,2
bearwhelp,1
bearwhelps,1
beast,71
beastliest,1
beastliness,1
beastly,21
beasto,1
beasts,34
beat,234
beated,1
beatem,1
beaten,46
beating,20
beatrice,57
beats,30
beau,22
beaufort,18
beauforts,4
beaumond,1
beaumont,2
beauteous,39
beautied,1
beauties,13
beautified,3
beautiful,16
beautify,3
beauty,201
beautyay,1
beautys,30
beautywaning,1
beaver,6
beavers,1
bebut,1
became,24
because,188
bechancd,1
bechance,1
bechanced,1
beck,5
beckd,1
beckning,1
beckond,1
beckons,5
becks,2
becomd,2
become,141
becomed,1
becomes,66
becomet,1
becoming,7
becomings,1
becomst,2
bed,270
bedabbled,1
bedashd,1
bedaubd,1
bedazzled,1
bedchamber,10
bedclothes,1
bedded,3
bedeck,1
bedecking,1
bedew,3
bedfellow,12
bedfellows,2
bedford,48
bedfords,1
bedhangers,1
bedimmd,1
bedlam,8
bedmate,1
bedpresser,1
bedrench,1
bedrid,3
bedrite,1
bedroom,1
beds,25
bedswerver,1
bedtime,3
bedvow,1
bedward,1
bedwork,1
bee,4
beef,11
beefs,1
beefwitted,1
beehives,1
been,697
beenfor,1
beer,6
bees,10
beest,12
beetle,6
beetleheaded,1
beetles,4
beeves,2
befall,28
befallen,1
befalln,7
befalls,1
befell,3
befits,9
befitted,1
befitting,1
before,837
beforebreach,1
beforehand,1
befores,1
beforet,1
beforetime,1
befort,1
befortune,1
befriend,5
befriended,2
befriends,2
beg,95
began,33
beganst,1
begant,1
begar,1
beget,22
begets,4
begetting,3
beggar,60
beggard,5
beggared,1
beggarfear,1
beggarly,9
beggarlynor,1
beggarman,1
beggars,32
beggarsneither,1
beggarwoman,1
beggary,12
beggd,25
begging,8
begin,113
beginners,2
beginning,19
beginnings,1
begins,55
begnaw,1
begnawn,1
begone,3
begot,25
begotten,4
begrimed,1
begs,7
begst,1
beguild,16
beguile,24
beguiled,4
beguiles,5
beguiling,3
begun,29
behalf,45
behalfs,1
behavd,1
behaved,1
behavedst,1
behavior,1
behaviors,1
behaviour,27
behaviours,6
behead,1
beheaded,6
beheld,28
behest,1
behests,1
behind,118
behinddoorwork,1
